,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
780,0-200,39,critical account/other credits existing (not at this bank),radio/television,4933,<100,4-7 yrs,2,guarantor,2,real estate,25,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,3,0
781,No account,24,critical account/other credits existing (not at this bank),car (new),1940,>=1000,>7 yrs,4,none,4,real estate,60,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
782,0-200,12,no credits taken / paid back duly,retraining,1410,<100,1-4 yrs,2,none,2,real estate,31,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,single,male,2,1
783,0-200,12,existing credits paid back duly till now,car (new),836,100-500,<1 yr,4,none,2,savings agreement/life insurance,23,bank,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,1,0
784,0-200,20,existing credits paid back duly till now,car (used),6468,unknown/no savings account,unemployed,1,none,4,real estate,60,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated,male,0,1
785,0-200,18,existing credits paid back duly till now,business,1941,>=1000,1-4 yrs,4,none,2,savings agreement/life insurance,35,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,single,male,2,1
786,No account,22,existing credits paid back duly till now,radio/television,2675,500-1000,>7 yrs,3,none,4,car or other,40,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
787,No account,48,critical account/other credits existing (not at this bank),car (used),2751,unknown/no savings account,>7 yrs,4,none,3,car or other,38,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
788,0-200,48,delay in paying off in the past,education,6224,<100,>7 yrs,4,none,4,unknown/no property,50,none,free,1,skilled employee / official,1,none,yes,bad,single,male,4,0
789,<0,40,critical account/other credits existing (not at this bank),education,5998,<100,1-4 yrs,4,none,3,unknown/no property,27,bank,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
790,0-200,21,existing credits paid back duly till now,business,1188,<100,>7 yrs,2,none,4,savings agreement/life insurance,39,none,rent,1,skilled employee / official,2,none,yes,bad,divorced/separated/married,female,4,0
791,No account,24,existing credits paid back duly till now,car (used),6313,unknown/no savings account,>7 yrs,3,none,4,car or other,41,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,4,1
792,No account,6,critical account/other credits existing (not at this bank),furniture/equipment,1221,unknown/no savings account,1-4 yrs,1,none,2,savings agreement/life insurance,27,none,rent,2,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
793,>=200,24,existing credits paid back duly till now,furniture/equipment,2892,<100,>7 yrs,3,none,4,unknown/no property,51,none,free,1,skilled employee / official,1,none,yes,good,divorced/separated,male,4,1
794,No account,24,existing credits paid back duly till now,furniture/equipment,3062,500-1000,>7 yrs,4,none,3,unknown/no property,32,none,own,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
795,No account,9,existing credits paid back duly till now,furniture/equipment,2301,100-500,<1 yr,2,none,4,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
796,<0,18,existing credits paid back duly till now,car (used),7511,unknown/no savings account,>7 yrs,1,none,4,savings agreement/life insurance,51,none,free,1,skilled employee / official,2,"yes, registered",yes,bad,single,male,4,0
797,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,1258,<100,<1 yr,2,none,4,savings agreement/life insurance,22,none,own,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,1,1
798,No account,24,delay in paying off in the past,car (new),717,unknown/no savings account,>7 yrs,4,none,4,car or other,54,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,4,1
799,0-200,9,existing credits paid back duly till now,car (new),1549,unknown/no savings account,<1 yr,4,none,2,real estate,35,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good,single,male,1,1
800,No account,24,critical account/other credits existing (not at this bank),education,1597,<100,>7 yrs,4,none,4,unknown/no property,54,none,free,2,skilled employee / official,2,none,yes,good,single,male,4,1
801,0-200,18,critical account/other credits existing (not at this bank),radio/television,1795,<100,>7 yrs,3,guarantor,4,real estate,48,bank,own,2,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
802,<0,20,critical account/other credits existing (not at this bank),furniture/equipment,4272,<100,>7 yrs,1,none,4,savings agreement/life insurance,24,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,4,1
803,No account,12,critical account/other credits existing (not at this bank),radio/television,976,unknown/no savings account,>7 yrs,4,none,4,car or other,35,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
804,0-200,12,existing credits paid back duly till now,car (new),7472,unknown/no savings account,unemployed,1,none,2,real estate,24,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good,divorced/separated/married,female,0,1
805,<0,36,existing credits paid back duly till now,car (new),9271,<100,4-7 yrs,2,none,1,car or other,24,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,3,0
806,0-200,6,existing credits paid back duly till now,radio/television,590,<100,<1 yr,3,none,3,real estate,26,none,rent,1,unskilled - resident,1,none,no,good,married/widowed,male,1,1
807,No account,12,critical account/other credits existing (not at this bank),radio/television,930,unknown/no savings account,>7 yrs,4,none,4,real estate,65,none,rent,4,skilled employee / official,1,none,yes,good,single,male,4,1
808,0-200,42,all credits at this bank paid back duly,car (used),9283,<100,unemployed,1,none,2,unknown/no property,55,bank,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
809,0-200,15,no credits taken / paid back duly,car (new),1778,<100,<1 yr,2,none,1,real estate,26,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,bad,divorced/separated/married,female,1,0
810,0-200,8,existing credits paid back duly till now,business,907,<100,<1 yr,3,none,2,real estate,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
811,0-200,6,existing credits paid back duly till now,radio/television,484,<100,4-7 yrs,3,guarantor,3,real estate,28,bank,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,3,1
812,<0,36,critical account/other credits existing (not at this bank),car (used),9629,<100,4-7 yrs,4,none,4,car or other,24,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,3,0
813,<0,48,existing credits paid back duly till now,domestic appliances,3051,<100,1-4 yrs,3,none,4,car or other,54,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
814,<0,48,existing credits paid back duly till now,car (new),3931,<100,4-7 yrs,4,none,4,unknown/no property,46,none,free,1,skilled employee / official,2,none,yes,bad,single,male,3,0
815,0-200,36,delay in paying off in the past,car (new),7432,<100,1-4 yrs,2,none,2,savings agreement/life insurance,54,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
816,No account,6,existing credits paid back duly till now,domestic appliances,1338,500-1000,1-4 yrs,1,none,4,real estate,62,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
817,No account,6,critical account/other credits existing (not at this bank),radio/television,1554,<100,4-7 yrs,1,none,2,car or other,24,none,own,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
818,<0,36,existing credits paid back duly till now,others,15857,<100,unemployed,2,co-applicant,3,car or other,43,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated,male,0,1
819,<0,18,existing credits paid back duly till now,radio/television,1345,<100,1-4 yrs,4,none,3,real estate,26,bank,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
820,No account,12,existing credits paid back duly till now,car (new),1101,<100,1-4 yrs,3,none,2,real estate,27,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,2,1
821,>=200,12,existing credits paid back duly till now,radio/television,3016,<100,1-4 yrs,3,none,1,car or other,24,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
822,<0,36,existing credits paid back duly till now,furniture/equipment,2712,<100,>7 yrs,2,none,2,savings agreement/life insurance,41,bank,rent,1,skilled employee / official,2,none,yes,bad,single,male,4,0
823,<0,8,critical account/other credits existing (not at this bank),car (new),731,<100,>7 yrs,4,none,4,real estate,47,none,rent,2,unskilled - resident,1,none,yes,good,single,male,4,1
824,No account,18,critical account/other credits existing (not at this bank),furniture/equipment,3780,<100,<1 yr,3,none,2,car or other,35,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated,male,1,1
825,<0,21,critical account/other credits existing (not at this bank),car (new),1602,<100,>7 yrs,4,none,3,car or other,30,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,4,1
826,<0,18,critical account/other credits existing (not at this bank),car (new),3966,<100,>7 yrs,1,none,4,real estate,33,bank,own,3,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,4,0
827,No account,18,no credits taken / paid back duly,business,4165,<100,1-4 yrs,2,none,2,car or other,36,stores,rent,2,skilled employee / official,2,none,yes,bad,single,male,2,0
828,<0,36,existing credits paid back duly till now,car (used),8335,unknown/no savings account,>7 yrs,3,none,4,unknown/no property,47,none,free,1,skilled employee / official,1,none,yes,bad,single,male,4,0
829,0-200,48,delay in paying off in the past,business,6681,unknown/no savings account,1-4 yrs,4,none,4,unknown/no property,38,none,free,1,skilled employee / official,2,"yes, registered",yes,good,single,male,2,1
830,No account,24,delay in paying off in the past,business,2375,500-1000,1-4 yrs,4,none,2,car or other,44,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,2,1
831,<0,18,existing credits paid back duly till now,car (new),1216,<100,<1 yr,4,none,3,car or other,23,none,own,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
832,<0,45,no credits taken / paid back duly,business,11816,<100,>7 yrs,2,none,4,car or other,29,none,own,2,skilled employee / official,1,none,yes,bad,single,male,4,0
833,0-200,24,existing credits paid back duly till now,radio/television,5084,unknown/no savings account,>7 yrs,2,none,4,car or other,42,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
834,>=200,15,existing credits paid back duly till now,radio/television,2327,<100,<1 yr,2,none,3,real estate,25,none,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,1,0
835,<0,12,no credits taken / paid back duly,car (new),1082,<100,1-4 yrs,4,none,4,car or other,48,bank,rent,2,skilled employee / official,1,none,yes,bad,single,male,2,0
836,No account,12,existing credits paid back duly till now,radio/television,886,unknown/no savings account,1-4 yrs,4,none,2,car or other,21,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
837,No account,4,existing credits paid back duly till now,furniture/equipment,601,<100,<1 yr,1,none,3,real estate,23,none,own,1,unskilled - resident,2,none,yes,good,divorced/separated/married,female,1,1
838,<0,24,critical account/other credits existing (not at this bank),car (used),2957,<100,>7 yrs,4,none,4,savings agreement/life insurance,63,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
839,No account,24,critical account/other credits existing (not at this bank),radio/television,2611,<100,>7 yrs,4,co-applicant,3,real estate,46,none,rent,2,skilled employee / official,1,none,yes,good,married/widowed,male,4,1
840,<0,36,existing credits paid back duly till now,furniture/equipment,5179,<100,4-7 yrs,4,none,2,savings agreement/life insurance,29,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,3,0
841,No account,21,delay in paying off in the past,car (used),2993,<100,1-4 yrs,3,none,2,real estate,28,stores,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
842,No account,18,existing credits paid back duly till now,repairs,1943,<100,<1 yr,4,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
843,No account,24,all credits at this bank paid back duly,business,1559,<100,4-7 yrs,4,none,4,car or other,50,bank,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
844,No account,18,existing credits paid back duly till now,furniture/equipment,3422,<100,>7 yrs,4,none,4,savings agreement/life insurance,47,bank,rent,3,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
845,0-200,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/no savings account,4-7 yrs,2,none,3,car or other,35,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
846,No account,18,existing credits paid back duly till now,car (new),6761,unknown/no savings account,1-4 yrs,2,none,4,car or other,68,none,own,2,skilled employee / official,1,none,yes,bad,single,male,2,0
847,No account,24,existing credits paid back duly till now,car (new),1249,<100,<1 yr,4,none,2,real estate,28,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,1,1
848,<0,9,existing credits paid back duly till now,radio/television,1364,<100,4-7 yrs,3,none,4,real estate,59,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
849,<0,12,existing credits paid back duly till now,radio/television,709,<100,>7 yrs,4,none,4,real estate,57,stores,rent,1,unskilled - resident,1,none,yes,bad,single,male,4,0
850,<0,20,critical account/other credits existing (not at this bank),car (new),2235,<100,1-4 yrs,4,guarantor,2,savings agreement/life insurance,33,bank,own,2,skilled employee / official,1,none,no,bad,married/widowed,male,2,0
851,No account,24,critical account/other credits existing (not at this bank),car (used),4042,unknown/no savings account,4-7 yrs,3,none,4,savings agreement/life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
852,No account,15,critical account/other credits existing (not at this bank),radio/television,1471,<100,1-4 yrs,4,none,4,unknown/no property,35,none,free,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
853,<0,18,all credits at this bank paid back duly,car (new),1442,<100,4-7 yrs,4,none,4,unknown/no property,32,none,free,2,unskilled - resident,2,none,yes,bad,single,male,3,0
854,No account,36,delay in paying off in the past,car (new),10875,<100,>7 yrs,2,none,2,car or other,45,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
855,No account,24,existing credits paid back duly till now,car (new),1474,100-500,<1 yr,4,none,3,real estate,33,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
856,No account,10,existing credits paid back duly till now,retraining,894,unknown/no savings account,4-7 yrs,4,none,3,savings agreement/life insurance,40,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
857,No account,15,critical account/other credits existing (not at this bank),furniture/equipment,3343,<100,1-4 yrs,4,none,2,unknown/no property,28,none,free,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
858,<0,15,existing credits paid back duly till now,car (new),3959,<100,1-4 yrs,3,none,2,savings agreement/life insurance,29,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
859,No account,9,existing credits paid back duly till now,car (new),3577,100-500,1-4 yrs,1,guarantor,2,real estate,26,none,own,1,skilled employee / official,2,none,no,good,single,male,2,1
860,No account,24,critical account/other credits existing (not at this bank),car (used),5804,>=1000,1-4 yrs,4,none,2,real estate,27,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
861,No account,18,delay in paying off in the past,business,2169,<100,1-4 yrs,4,none,2,car or other,28,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,married/widowed,male,2,0
862,<0,24,existing credits paid back duly till now,radio/television,2439,<100,<1 yr,4,none,4,real estate,35,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
863,No account,27,critical account/other credits existing (not at this bank),furniture/equipment,4526,>=1000,<1 yr,4,none,2,real estate,32,stores,rent,2,unskilled - resident,2,"yes, registered",yes,good,single,male,1,1
864,No account,10,existing credits paid back duly till now,furniture/equipment,2210,<100,1-4 yrs,2,none,2,real estate,25,bank,own,1,unskilled - resident,1,none,yes,bad,single,male,2,0
865,No account,15,existing credits paid back duly till now,furniture/equipment,2221,500-1000,1-4 yrs,2,none,4,car or other,20,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
866,<0,18,existing credits paid back duly till now,radio/television,2389,<100,<1 yr,4,none,1,car or other,27,stores,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
867,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,3331,<100,>7 yrs,2,none,4,savings agreement/life insurance,42,stores,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
868,No account,36,existing credits paid back duly till now,business,7409,unknown/no savings account,>7 yrs,3,none,2,savings agreement/life insurance,37,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
869,<0,12,existing credits paid back duly till now,furniture/equipment,652,<100,>7 yrs,4,none,4,savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,4,1
870,No account,36,delay in paying off in the past,furniture/equipment,7678,500-1000,4-7 yrs,2,none,4,car or other,40,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
871,>=200,6,critical account/other credits existing (not at this bank),car (new),1343,<100,>7 yrs,1,none,4,real estate,46,none,rent,2,skilled employee / official,2,none,no,good,single,male,4,1
872,<0,24,critical account/other credits existing (not at this bank),business,1382,100-500,4-7 yrs,4,none,1,real estate,26,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
873,No account,15,existing credits paid back duly till now,domestic appliances,874,unknown/no savings account,<1 yr,4,none,1,real estate,24,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
874,<0,12,existing credits paid back duly till now,furniture/equipment,3590,<100,1-4 yrs,2,co-applicant,2,savings agreement/life insurance,29,none,rent,1,unskilled - resident,2,none,yes,good,single,male,2,1
875,0-200,11,critical account/other credits existing (not at this bank),car (new),1322,>=1000,1-4 yrs,4,none,4,car or other,40,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
876,<0,18,all credits at this bank paid back duly,radio/television,1940,<100,<1 yr,3,co-applicant,4,unknown/no property,36,bank,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,1,1
877,No account,36,existing credits paid back duly till now,radio/television,3595,<100,>7 yrs,4,none,2,car or other,28,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
878,<0,9,existing credits paid back duly till now,car (new),1422,<100,<1 yr,3,none,2,unknown/no property,27,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,1,0
879,No account,30,critical account/other credits existing (not at this bank),radio/television,6742,unknown/no savings account,4-7 yrs,2,none,3,savings agreement/life insurance,36,none,rent,2,skilled employee / official,1,none,yes,good,single,male,3,1
880,No account,24,existing credits paid back duly till now,car (used),7814,<100,4-7 yrs,3,none,3,car or other,38,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
881,No account,24,existing credits paid back duly till now,car (used),9277,unknown/no savings account,1-4 yrs,2,none,4,unknown/no property,48,none,free,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,2,1
882,0-200,30,critical account/other credits existing (not at this bank),car (new),2181,unknown/no savings account,>7 yrs,4,none,4,real estate,36,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
883,No account,18,critical account/other credits existing (not at this bank),radio/television,1098,<100,unemployed,4,none,4,car or other,65,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,good,divorced/separated/married,female,0,1
884,0-200,24,existing credits paid back duly till now,furniture/equipment,4057,<100,4-7 yrs,3,none,3,car or other,43,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated,male,3,0
885,<0,12,existing credits paid back duly till now,education,795,<100,<1 yr,4,none,4,savings agreement/life insurance,53,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
886,0-200,24,critical account/other credits existing (not at this bank),business,2825,unknown/no savings account,4-7 yrs,4,none,3,unknown/no property,34,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,3,1
887,0-200,48,existing credits paid back duly till now,business,15672,<100,1-4 yrs,2,none,2,car or other,23,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
888,No account,36,critical account/other credits existing (not at this bank),car (new),6614,<100,>7 yrs,4,none,4,car or other,34,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
889,No account,28,all credits at this bank paid back duly,car (used),7824,unknown/no savings account,<1 yr,3,guarantor,4,real estate,40,bank,own,2,skilled employee / official,2,"yes, registered",yes,good,single,male,1,1
890,<0,27,critical account/other credits existing (not at this bank),business,2442,<100,>7 yrs,4,none,4,car or other,43,stores,rent,4,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,4,1
891,No account,15,critical account/other credits existing (not at this bank),radio/television,1829,<100,>7 yrs,4,none,4,car or other,46,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
892,<0,12,critical account/other credits existing (not at this bank),car (new),2171,<100,1-4 yrs,4,none,4,savings agreement/life insurance,38,bank,rent,2,unskilled - resident,1,none,no,good,single,male,2,1
893,0-200,36,critical account/other credits existing (not at this bank),car (used),5800,<100,1-4 yrs,3,none,4,car or other,34,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
894,No account,18,critical account/other credits existing (not at this bank),radio/television,1169,unknown/no savings account,1-4 yrs,4,none,3,savings agreement/life insurance,29,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
895,No account,36,delay in paying off in the past,car (used),8947,unknown/no savings account,4-7 yrs,3,none,2,car or other,31,stores,rent,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,3,1
896,<0,21,existing credits paid back duly till now,radio/television,2606,<100,<1 yr,4,none,4,savings agreement/life insurance,28,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
897,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,1592,>=1000,4-7 yrs,3,none,2,savings agreement/life insurance,35,none,rent,1,skilled employee / official,1,none,no,good,divorced/separated/married,female,3,1
898,No account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/no savings account,4-7 yrs,1,none,4,real estate,33,bank,own,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,3,1
899,<0,18,existing credits paid back duly till now,furniture/equipment,4153,<100,1-4 yrs,2,co-applicant,3,car or other,42,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
900,<0,16,critical account/other credits existing (not at this bank),car (new),2625,<100,>7 yrs,2,guarantor,4,savings agreement/life insurance,43,bank,own,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
901,No account,20,critical account/other credits existing (not at this bank),car (new),3485,unknown/no savings account,<1 yr,2,none,4,real estate,44,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,1,1
902,No account,36,critical account/other credits existing (not at this bank),car (used),10477,unknown/no savings account,>7 yrs,2,none,4,unknown/no property,42,none,free,2,skilled employee / official,1,none,yes,good,single,male,4,1
903,No account,15,existing credits paid back duly till now,radio/television,1386,unknown/no savings account,1-4 yrs,4,none,2,real estate,40,none,own,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,2,1
904,No account,24,existing credits paid back duly till now,radio/television,1278,<100,>7 yrs,4,none,1,real estate,36,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
905,<0,12,existing credits paid back duly till now,radio/television,1107,<100,1-4 yrs,2,none,2,real estate,20,none,own,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,2,1
906,<0,21,existing credits paid back duly till now,car (new),3763,unknown/no savings account,4-7 yrs,2,co-applicant,2,real estate,24,none,rent,1,unskilled - resident,1,none,no,good,single,male,3,1
907,0-200,36,existing credits paid back duly till now,education,3711,unknown/no savings account,1-4 yrs,2,none,2,car or other,27,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
908,No account,15,delay in paying off in the past,car (used),3594,<100,<1 yr,1,none,2,savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,1,1
909,0-200,9,existing credits paid back duly till now,car (new),3195,unknown/no savings account,1-4 yrs,1,none,2,real estate,33,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
910,No account,36,delay in paying off in the past,radio/television,4454,<100,1-4 yrs,4,none,4,real estate,34,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
911,0-200,24,critical account/other credits existing (not at this bank),furniture/equipment,4736,<100,<1 yr,2,none,4,car or other,25,bank,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,1,0
912,0-200,30,existing credits paid back duly till now,radio/television,2991,unknown/no savings account,>7 yrs,2,none,4,car or other,25,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,4,1
913,No account,11,existing credits paid back duly till now,business,2142,>=1000,>7 yrs,1,none,2,real estate,28,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,4,1
914,<0,24,all credits at this bank paid back duly,business,3161,<100,1-4 yrs,4,none,2,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
915,0-200,48,no credits taken / paid back duly,others,18424,<100,1-4 yrs,1,none,2,savings agreement/life insurance,32,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",no,bad,divorced/separated/married,female,2,0
916,No account,10,existing credits paid back duly till now,car (used),2848,100-500,1-4 yrs,1,co-applicant,2,real estate,32,none,rent,1,skilled employee / official,2,none,yes,good,single,male,2,1
917,<0,6,existing credits paid back duly till now,car (new),14896,<100,>7 yrs,1,none,4,unknown/no property,68,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
918,<0,24,existing credits paid back duly till now,furniture/equipment,2359,100-500,unemployed,1,none,1,savings agreement/life insurance,33,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,0,0
919,<0,24,existing credits paid back duly till now,furniture/equipment,3345,<100,>7 yrs,4,none,2,savings agreement/life insurance,39,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
920,No account,18,critical account/other credits existing (not at this bank),furniture/equipment,1817,<100,1-4 yrs,4,none,2,unknown/no property,28,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
921,No account,48,delay in paying off in the past,radio/television,12749,500-1000,4-7 yrs,4,none,1,car or other,37,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
922,<0,9,existing credits paid back duly till now,radio/television,1366,<100,<1 yr,3,none,4,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
923,0-200,12,existing credits paid back duly till now,car (new),2002,<100,4-7 yrs,3,none,4,savings agreement/life insurance,30,none,own,1,skilled employee / official,2,"yes, registered",yes,good,single,male,3,1
924,<0,24,all credits at this bank paid back duly,furniture/equipment,6872,<100,<1 yr,2,none,1,savings agreement/life insurance,55,bank,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated,male,1,0
925,<0,12,all credits at this bank paid back duly,car (new),697,<100,<1 yr,4,none,2,car or other,46,bank,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,1,0
926,<0,18,critical account/other credits existing (not at this bank),furniture/equipment,1049,<100,<1 yr,4,none,4,savings agreement/life insurance,21,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
927,<0,48,existing credits paid back duly till now,car (used),10297,<100,4-7 yrs,4,none,4,unknown/no property,39,stores,free,3,skilled employee / official,2,"yes, registered",yes,bad,single,male,3,0
